"Subject","Session","Block","Trial","LocationNumber","ClickNumber","Timestamp","SetSize","LocationX","LocationY","ColorIndex","TrueColor","RespColor","Error","RT"
"0","1","1","10","2","2","1667572898","6","1.653824134901995","5.767570175629913","16","[ 0.95  0.13 -0.33]","[-1.0, -1.0, -1.0]","None","2.6000679999997374"
"0","1","1","10","3","1","1667572898","6","-3.7759223462990237","4.662875768741826","219","[-1.    0.46  1.  ]","[-1.0, -1.0, -1.0]","None","2.1019251000252552"
"0","1","1","10","4","6","1667572898","6","-5.908846518073248","-1.0418890660015827","251","[-1.   0.5  0.7]","[-1.0, -1.0, -1.0]","None","5.053656800009776"
"0","1","1","10","5","5","1667572898","6","-1.6538241349019933","-5.767570175629914","285","[-0.35  0.48  0.22]","[-1.0, -1.0, -1.0]","None","4.420564900006866"
"0","1","1","10","6","4","1667572898","6","4.388122209715024","-4.09199016037499","112","[ 1.   -0.13  0.8 ]","[-1.0, -1.0, -1.0]","None","3.807768800004851"
"0","1","1","11","1","1","1667572905","1","-5.63815572471545","2.0521208599540133","310","[ 0.11  0.44 -0.11]","[-1.0, -1.0, -1.0]","None","3.136513899982674"
"0","1","1","12","1","1","1667572910","1","-5.523029120714642","-2.344386770935641","117","[ 1.   -0.11  0.87]","[-1.0, -1.0, -1.0]","None","0.572827199997846"
"0","1","1","13","1","1","1667572914","1","-1.854101966249684","5.706339097770922","254","[-1.    0.5   0.66]","[-1.0, -1.0, -1.0]","None","0.6302985000074841"
"0","1","1","14","1","1","1667572921","4","1.451531373598006","5.821774357655979","150","[0.55 0.13 1.  ]","[-1.0, -1.0, -1.0]","None","0.8350300000165589"
"0","1","1","14","2","4","1667572921","4","-5.84622038871141","1.3497063260631912","122","[ 0.99 -0.07  0.92]","[-1.0, -1.0, -1.0]","None","2.9586241000215523"
"0","1","1","14","3","3","1667572921","4","-0.4185388424647535","-5.985384301558945","28","[ 1.    0.04 -0.26]","[-1.0, -1.0, -1.0]","None","2.2051914000185207"
"0","1","1","14","4","2","1667572921","4","5.967131372209639","-0.6271707796059205","91","[ 1.   -0.22  0.51]","[-1.0, -1.0, -1.0]","None","1.4722828000085428"
"0","1","1","15","1","2","1667572927","2","5.868885604402834","1.247470144906556","243","[-1.    0.5   0.82]","[-1.0, -1.0, -1.0]","None","1.1570207999902777"
"0","1","1","15","2","1","1667572927","2","-5.868885604402833","-1.247470144906557","16","[ 0.95  0.13 -0.33]","[-1.0, -1.0, -1.0]","None","0.5860811999882571"
"0","1","1","16","1","1","1667572934","4","2.723942998437281","5.346039145130207","307","[ 0.07  0.44 -0.07]","[-1.0, -1.0, -1.0]","None","0.9641707999981008"
"0","1","1","16","2","4","1667572934","4","-5.297685557153562","2.816829376715344","228","[-1.    0.48  1.  ]","[-1.0, -1.0, -1.0]","None","3.1033702999993693"
"0","1","1","16","3","3","1667572934","4","-2.4404198584548005","-5.481272745855605","347","[ 0.62  0.29 -0.39]","[-1.0, -1.0, -1.0]","None","2.4071659999899566"
"0","1","1","16","4","2","1667572934","4","5.563103127400724","-2.247639560495474","152","[0.5  0.15 1.  ]","[-1.0, -1.0, -1.0]","None","1.6799972000007983"
